# wavelength_A flux_erg/s/cm2/A
# # Teff=5777 logg=4.44 [M/H]=0.0
5.078152e+03 7.470590e+06
5.113388e+03 7.524708e+06
5.148867e+03 8.641910e+06
5.184594e+03 5.763419e+06
5.220568e+03 7.093337e+06
5.256791e+03 6.844045e+06
5.293266e+03 7.740128e+06
5.329994e+03 7.190184e+06
5.366977e+03 8.311760e+06
5.404216e+03 7.474298e+06
5.441714e+03 8.170966e+06
5.479472e+03 7.629572e+06
5.517492e+03 7.662052e+06
5.555776e+03 6.816156e+06
5.594326e+03 6.912246e+06
5.633143e+03 7.165580e+06
5.672229e+03 7.096274e+06
5.711586e+03 7.268104e+06
5.751217e+03 6.851970e+06
5.791123e+03 6.955640e+06
5.831305e+03 7.783498e+06
5.871766e+03 7.872704e+06
5.912508e+03 6.496526e+06
5.953533e+03 7.256279e+06
5.994843e+03 7.271664e+06
6.036439e+03 7.180306e+06
6.078323e+03 7.149940e+06
6.120498e+03 6.835514e+06
6.162966e+03 6.294243e+06
6.205729e+03 6.802317e+06
6.248788e+03 6.492576e+06
6.292146e+03 6.942083e+06
6.335805e+03 6.675391e+06
6.379767e+03 6.443907e+06
6.424034e+03 6.855062e+06
6.468608e+03 7.434374e+06
6.513491e+03 6.600230e+06
6.558686e+03 6.357280e+06
6.604194e+03 6.849706e+06
6.650018e+03 6.827646e+06
6.696160e+03 6.249236e+06
6.742622e+03 7.052202e+06
6.789407e+03 5.940823e+06
6.836516e+03 6.143892e+06
6.883952e+03 6.593878e+06
6.931717e+03 6.084842e+06
6.979814e+03 6.184459e+06
7.028244e+03 6.080134e+06
7.077011e+03 6.436928e+06
7.126115e+03 6.080955e+06
7.175561e+03 5.553392e+06
7.225349e+03 5.562778e+06
7.275484e+03 5.851532e+06
7.325965e+03 5.358638e+06
7.376798e+03 6.041862e+06
7.427982e+03 5.768382e+06
7.479523e+03 5.599526e+06
7.531420e+03 5.377664e+06
7.583678e+03 5.251628e+06
7.636298e+03 5.546646e+06
7.689284e+03 4.903778e+06
7.742637e+03 5.375710e+06
7.796360e+03 5.198608e+06
7.850456e+03 4.947149e+06
7.904928e+03 4.685314e+06
7.959777e+03 4.757426e+06
8.015007e+03 4.767350e+06
8.070620e+03 4.846462e+06
8.126619e+03 4.581683e+06
8.183007e+03 4.616130e+06
8.239786e+03 4.759975e+06
8.296959e+03 4.697574e+06
8.354528e+03 4.288422e+06
8.412497e+03 4.495338e+06
8.470868e+03 3.911436e+06
8.529644e+03 3.920529e+06
8.588829e+03 4.421638e+06
8.648423e+03 3.567777e+06
8.708431e+03 3.943843e+06
8.768856e+03 4.350330e+06
